Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AMD,AMZN,INTC,META,NVDA,RIVN,TSLA,AMD,AMZN,INTC,META,NVDA,RIVN,TSLA,AMD,AMZN,INTC,META,NVDA,RIVN,TSLA,AMD,AMZN,INTC,META,NVDA,RIVN,TSLA,AMD,AMZN,INTC,META,NVDA,RIVN,TSLA,AMD,AMZN,INTC,META,NVDA,RIVN,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-02 00:00:00+00:00,2.5299999713897705,12.865500450134277,15.289291381835938,27.91594696044922,0.2935347855091095,,2.357332944869995,2.5299999713897705,12.865500450134277,21.3799991607666,28.0,0.3179999887943268,,2.357332944869995,2.569999933242798,12.904999732971191,21.3799991607666,28.18000030517578,0.31825000047683716,,2.363332986831665,2.450000047683716,12.663000106811523,21.049999237060547,27.420000076293945,0.3127500116825104,,2.313999891281128,2.549999952316284,12.803999900817871,21.149999618530273,27.440000534057617,0.3140000104904175,,2.3333330154418945,27214800,65420000,47623000,69846400,478836000,,17922000
2013-01-03 00:00:00+00:00,2.490000009536743,12.923999786376953,15.246383666992188,27.6866397857666,0.2937656044960022,,2.318000078201294,2.490000009536743,12.923999786376953,21.31999969482422,27.770000457763672,0.31825000047683716,,2.318000078201294,2.5899999141693115,13.043999671936035,21.479999542236328,28.469999313354492,0.3217499852180481,,2.363332986831665,2.4600000381469727,12.818499565124512,21.139999389648438,27.59000015258789,0.31450000405311584,,2.316667079925537,2.5199999809265137,12.863499641418457,21.399999618530273,27.8799991607666,0.3179999887943268,,2.3453330993652344,24966900,55018000,41054100,63140600,298888000,,11130000
2013-01-04 00:00:00+00:00,2.5899999141693115,12.957500457763672,15.13197135925293,28.67366600036621,0.30345767736434937,,2.293333053588867,2.5899999141693115,12.957500457763672,21.15999984741211,28.760000228881836,0.32875001430511475,,2.293333053588867,2.5899999141693115,12.989999771118164,21.389999389648438,28.93000030517578,0.3297500014305115,,2.319999933242798,2.490000009536743,12.832500457763672,21.049999237060547,27.829999923706055,0.3177500069141388,,2.2613329887390137,2.509999990463257,12.878999710083008,21.360000610351562,28.010000228881836,0.3187499940395355,,2.319999933242798,22054200,37484000,30142500,72715400,524968000,,10110000
2013-01-07 00:00:00+00:00,2.6700000762939453,13.42300033569336,15.196325302124023,29.33168601989746,0.2946886122226715,,2.2893331050872803,2.6700000762939453,13.42300033569336,21.25,29.420000076293945,0.3192499876022339,,2.2893331050872803,2.700000047683716,13.486499786376953,21.450000762939453,29.790000915527344,0.3294999897480011,,2.319999933242798,2.5999999046325684,13.133500099182129,21.18000030517578,28.649999618530273,0.31700000166893005,,2.259999990463257,2.609999895095825,13.148500442504883,21.280000686645508,28.690000534057617,0.32850000262260437,,2.319999933242798,25575200,98200000,36352100,83781800,610732000,,6630000
2013-01-08 00:00:00+00:00,2.6700000762939453,13.319000244140625,15.081908226013184,28.972766876220703,0.28822728991508484,,2.245332956314087,2.6700000762939453,13.319000244140625,21.09000015258789,29.059999465942383,0.3122499883174896,,2.245332956314087,2.759999990463257,13.449000358581543,21.559999465942383,29.600000381469727,0.32100000977516174,,2.299999952316284,2.640000104904175,13.178500175476074,21.020000457763672,28.860000610351562,0.3100000023841858,,2.2073330879211426,2.7200000286102295,13.353500366210938,21.229999542236328,29.510000228881836,0.3199999928474426,,2.299999952316284,29140800,60214000,48672000,45871300,466424000,,19260000
2013-01-09 00:00:00+00:00,2.630000114440918,13.317500114440918,15.339353561401367,30.498172760009766,0.28176581859588623,,2.2426669597625732,2.630000114440918,13.317500114440918,21.450000762939453,30.59000015258789,0.30524998903274536,,2.2426669597625732,2.7200000286102295,13.475000381469727,21.469999313354492,30.600000381469727,0.3162499964237213,,2.2793331146240234,2.5999999046325684,13.270000457763672,21.200000762939453,29.489999771118164,0.3032500147819519,,2.2266669273376465,2.700000047683716,13.408499717712402,21.219999313354492,29.670000076293945,0.31474998593330383,,2.2673330307006836,16675100,45312000,34290000,104787700,695020000,,10470000
2013-01-10 00:00:00+00:00,2.619999885559082,13.267000198364258,15.589641571044922,31.20604133605957,0.2822273373603821,,2.23533296585083,2.619999885559082,13.267000198364258,21.799999237060547,31.299999237060547,0.3057500123977661,,2.23533296585083,2.700000047683716,13.437000274658203,21.81999969482422,31.450000762939453,0.3095000088214874,,2.2660000324249268,2.609999895095825,13.114999771118164,21.530000686645508,30.280000686645508,0.30399999022483826,,2.2253329753875732,2.690000057220459,13.427000045776367,21.610000610351562,30.600000381469727,0.30799999833106995,,2.257999897003174,19408800,57268000,44621600,95316400,506368000,,13837500
2013-01-11 00:00:00+00:00,2.6700000762939453,13.397000312805176,15.732671737670898,31.624780654907227,0.28176581859588623,,2.194000005722046,2.6700000762939453,13.397000312805176,22.0,31.719999313354492,0.30524998903274536,,2.194000005722046,2.680000066757202,13.421500205993652,22.06999969482422,31.959999084472656,0.3072499930858612,,2.2693328857421875,2.549999952316284,13.205499649047852,21.770000457763672,31.100000381469727,0.3022499978542328,,2.140666961669922,2.630000114440918,13.255000114440918,21.799999237060547,31.280000686645508,0.3070000112056732,,2.2693328857421875,20032100,48266000,44944700,89598000,513172000,,23448000
2013-01-14 00:00:00+00:00,2.640000104904175,13.636500358581543,15.732671737670898,30.857093811035156,0.28153494000434875,,2.2173330783843994,2.640000104904175,13.636500358581543,22.0,30.950000762939453,0.3050000071525574,,2.2173330783843994,2.700000047683716,13.713000297546387,22.1299991607666,32.209999084472656,0.3072499930858612,,2.2253329753875732,2.619999885559082,13.376999855041504,21.75,30.6200008392334,0.30149999260902405,,2.190000057220459,2.680000066757202,13.399999618530273,21.979999542236328,32.08000183105469,0.3072499930858612,,2.2053329944610596,17300300,85500000,35724500,98892800,305684000,,13876500
2013-01-15 00:00:00+00:00,2.680000066757202,13.595000267028809,15.646852493286133,30.0096435546875,0.2764579951763153,,2.259999990463257,2.680000066757202,13.595000267028809,21.8799991607666,30.100000381469727,0.2994999885559082,,2.259999990463257,2.700000047683716,13.636500358581543,22.1299991607666,31.709999084472656,0.3034999966621399,,2.2833330631256104,2.5999999046325684,13.46500015258789,21.780000686645508,29.8799991607666,0.29774999618530273,,2.2053329944610596,2.619999885559082,13.534000396728516,21.950000762939453,30.639999389648438,0.3034999966621399,,2.2073330879211426,23696400,46538000,33990300,173242600,375888000,,24363000
